ResponseId,bot_score,final_vote,vote_label,raw_score,effective_weight
R_7QtQuBUjvNvPXeh,1.0,1,bot,0.024875,0.0249
R_52sRTunW4kxec5W,1.0,1,bot,0.024875,0.0249
R_5r513YxCG11RVst,1.0,1,bot,0.024875,0.0249
R_5dtcnH5ViPmxlV1,1.0,1,bot,0.024875,0.0249
R_5YEpe9VqdBCd0GJ,1.0,1,bot,0.024875,0.0249
R_7sVB4o23scKSGjv,1.0,1,bot,0.024875,0.0249
R_7pPu3bxfk6sPtgo,1.0,1,bot,0.024875,0.0249
R_5AI1auD4gGCNNC1,1.0,1,bot,0.024875,0.0249
R_75TnzHlG5wEOYf6,1.0,1,bot,0.024875,0.0249
R_6DMRdXst3CHbLeX,1.0,1,bot,0.024875,0.0249
R_6CE3Jy37WvQZyJb,1.0,1,bot,0.024875,0.0249
R_6CwQSy3iQxdPRfW,1.0,1,bot,0.024875,0.0249
R_6wjD0veKzNxrkXv,1.0,1,bot,0.024875,0.0249
R_6roLbN44oKxHhxz,1.0,1,bot,0.024875,0.0249
R_6gpE6WM0sxSPO4T,1.0,1,bot,0.024875,0.0249
R_65HEjWXKOo8xd5L,1.0,1,bot,0.024875,0.0249
R_6YG7lV14PVsNIQb,1.0,1,bot,0.024875,0.0249
R_1mqfifnkjnl0htn,1.0,1,bot,0.024875,0.0249
R_1jheP2kwwnoeBAl,1.0,1,bot,0.024875,0.0249
R_1e5m8YxazCQyHpE,-1.0,-1,human,-0.225143,0.2251
R_5GOzi2gGtfDcRGx,-0.2053,-1,human,-0.095029,0.4628
R_7TzWYr2GwQfsVYe,1.0,1,bot,0.024875,0.0249
R_73qyFTx8rzekc8g,1.0,1,bot,0.024875,0.0249
R_3TKIl7WaDRYcpxo,-1.0,-1,human,-0.661891,0.6619
R_5fzES6qSj7VZTtD,-1.0,-1,human,-0.658925,0.6589
R_3k7P69rXCwQe373,-1.0,-1,human,-0.657588,0.6576
R_3PUiksZqCh2T5OH,-1.0,-1,human,-0.661456,0.6615
R_3im9kF8AZntpyKM,-1.0,-1,human,-0.646668,0.6467
R_64BiuQfJpWeLG7i,-1.0,-1,human,-0.630966,0.631
R_5APYraG4G0jJTCV,-1.0,-1,human,-0.658925,0.6589
R_110do7NbcsgfU4N,-1.0,-1,human,-0.649988,0.65
R_3rk3ocTZFauWCNt,-1.0,-1,human,-0.638441,0.6384
R_7S0IMy8NFhrRpZ7,-0.434,-1,human,-0.17542,0.4042
R_3QmZUiu7w06YzDR,-1.0,-1,human,-0.591457,0.5915
R_3ejdNEFaNdpMJ8Z,-1.0,-1,human,-0.533056,0.5331
R_5eyDp4nMuh9myd3,-1.0,-1,human,-0.661891,0.6619
R_5zV1vDCbwLuTWtX,-1.0,-1,human,-0.661891,0.6619
R_61cuAAaoUGvZWgE,-0.8763,-1,human,-0.570059,0.6506
R_3uvxC8yrJxrM4OT,-1.0,-1,human,-0.651879,0.6519
R_60GLwXAG8g7619v,-1.0,-1,human,-0.658291,0.6583
R_6SpL04uO3xJtRcp,-0.3563,-1,human,-0.245048,0.6878
